"year","destiny_label","accepted","rejected"
"2008","Belgium",3330,9935
"2008","Bulgaria",240,340
"2008","Cyprus",0,NA
"2008","Czech Republic",130,1090
"2008","Denmark",0,NA
"2008","Estonia",0,0
"2008","Finland",235,440
"2008","France",4975,26445
"2008","Germany",7600,11260
"2008","Greece",10,29205
"2008","Hungary",10,75
"2008","Ireland",235,3110
"2008","Italy",9515,10400
"2008","Latvia",0,0
"2008","Lithuania",0,20
"2008","Luxembourg",5,235
"2008","Malta",1395,1235
"2008","Netherlands",5440,5025
"2008","Poland",2720,1410
"2008","Portugal",40,15
"2008","Romania",90,525
"2008","Slovakia",25,NA
"2008","Slovenia",0,125
"2008","Spain",165,4710
"2008","Sweden",6745,21540
"2008","United Kingdom",6810,16495
"2009","Belgium",2630,11305
"2009","Bulgaria",225,315
"2009","Cyprus",0,NA
"2009","Czech Republic",35,385
"2009","Denmark",0,NA
"2009","Estonia",0,5
"2009","Finland",490,925
"2009","France",4715,27770
"2009","Germany",9470,16875
"2009","Greece",65,14095
"2009","Hungary",5,180
"2009","Ireland",60,2795
"2009","Italy",8625,13580
"2009","Latvia",0,25
"2009","Lithuania",0,85
"2009","Luxembourg",55,130
"2009","Malta",1660,860
"2009","Netherlands",8005,9135
"2009","Poland",2475,4000
"2009","Portugal",30,15
"2009","Romania",80,380
"2009","Slovakia",30,NA
"2009","Slovenia",5,60
"2009","Spain",205,4005
"2009","Sweden",6320,15475
"2009","United Kingdom",7980,22415
"2010","Belgium",3230,11310
"2010","Bulgaria",100,325
"2010","Cyprus",0,NA
"2010","Czech Republic",75,260
"2010","Denmark",0,NA
"2010","Estonia",10,10
"2010","Finland",840,1280
"2010","France",4765,28985
"2010","Germany",10160,34800
"2010","Greece",60,3215
"2010","Hungary",40,250
"2010","Ireland",5,1365
"2010","Italy",3865,6575
"2010","Latvia",20,15
"2010","Lithuania",5,155
"2010","Luxembourg",20,270
"2010","Malta",195,105
"2010","Netherlands",7700,9370
"2010","Poland",410,3840
"2010","Portugal",25,50
"2010","Romania",50,320
"2010","Slovakia",20,NA
"2010","Slovenia",10,35
"2010","Spain",515,2040
"2010","Sweden",7995,18020
"2010","United Kingdom",6090,19805
"2011","Belgium",4705,12285
"2011","Bulgaria",155,350
"2011","Cyprus",0,NA
"2011","Czech Republic",245,335
"2011","Denmark",0,NA
"2011","Estonia",0,30
"2011","Finland",455,730
"2011","France",4285,34175
"2011","Germany",9320,30470
"2011","Greece",55,8375
"2011","Hungary",50,210
"2011","Ireland",20,1170
"2011","Italy",6655,16675
"2011","Latvia",5,35
"2011","Lithuania",5,275
"2011","Luxembourg",10,825
"2011","Malta",805,695
"2011","Netherlands",6560,8790
"2011","Poland",400,2680
"2011","Portugal",30,30
"2011","Romania",45,940
"2011","Slovakia",20,NA
"2011","Slovenia",0,145
"2011","Spain",840,2280
"2011","Sweden",7800,16670
"2011","United Kingdom",6825,15410
"2012","Belgium",5295,17750
"2012","Bulgaria",135,405
"2012","Cyprus",0,NA
"2012","Czech Republic",85,460
"2012","Denmark",0,NA
"2012","Estonia",0,15
"2012","Finland",510,660
"2012","France",8180,48685
"2012","Germany",16775,41470
"2012","Greece",30,10995
"2012","Hungary",35,295
"2012","Ireland",40,675
"2012","Italy",21685,5085
"2012","Latvia",10,80
"2012","Lithuania",20,320
"2012","Luxembourg",35,1375
"2012","Malta",1400,130
"2012","Netherlands",5185,7925
"2012","Poland",465,1915
"2012","Portugal",45,80
"2012","Romania",165,1315
"2012","Slovakia",10,NA
"2012","Slovenia",15,115
"2012","Spain",345,1925
"2012","Sweden",9480,18300
"2012","United Kingdom",7425,13935
"2013","Belgium",6095,14560
"2013","Bulgaria",2415,305
"2013","Cyprus",0,NA
"2013","Czech Republic",265,475
"2013","Denmark",0,NA
"2013","Estonia",0,20
"2013","Finland",630,700
"2013","France",10190,46575
"2013","Germany",19740,56045
"2013","Greece",345,12455
"2013","Hungary",15,1065
"2013","Ireland",85,545
"2013","Italy",13945,9080
"2013","Latvia",15,50
"2013","Lithuania",15,95
"2013","Luxembourg",50,830
"2013","Malta",1560,260
"2013","Netherlands",5715,5960
"2013","Poland",575,2155
"2013","Portugal",50,145
"2013","Romania",855,450
"2013","Slovakia",5,NA
"2013","Slovenia",10,115
"2013","Spain",430,1690
"2013","Sweden",16010,19875
"2013","United Kingdom",8150,13685
"2014","Belgium",7785,11710
"2014","Bulgaria",6955,355
"2014","Cyprus",0,NA
"2014","Czech Republic",300,555
"2014","Denmark",0,NA
"2014","Estonia",5,15
"2014","Finland",370,345
"2014","France",13950,48545
"2014","Germany",40180,56620
"2014","Greece",1780,11195
"2014","Hungary",40,435
"2014","Ireland",255,560
"2014","Italy",20190,14425
"2014","Latvia",15,35
"2014","Lithuania",10,90
"2014","Luxembourg",5,585
"2014","Malta",1190,420
"2014","Netherlands",12320,6020
"2014","Poland",635,1950
"2014","Portugal",55,65
"2014","Romania",670,760
"2014","Slovakia",25,NA
"2014","Slovenia",25,10
"2014","Spain",1475,1910
"2014","Sweden",19780,8525
"2014","United Kingdom",9680,15530
