"origin","destiny","sex","age","accepted_total","rejected_total","total","predict2015"
"Afghanistan","Austria","Females","14 to 17",200,90,290,0.8415
"Armenia","Austria","Females","14 to 17",5,50,55,0.2881
"Azerbaijan","Austria","Females","14 to 17",0,10,10,0.5169
"Bosnia and Herzegovina","Austria","Females","14 to 17",0,30,30,0.1349
"China (including Hong Kong)","Austria","Females","14 to 17",0,5,5,0.6138
"Dem. Rep. Congo","Austria","Females","14 to 17",10,0,10,0.5754
"Eritrea","Austria","Females","14 to 17",5,0,5,0.9514
"Georgia","Austria","Females","14 to 17",5,15,20,0.1471
"Iran","Austria","Females","14 to 17",30,10,40,0.8545
"Iraq","Austria","Females","14 to 17",70,0,70,0.8941
"Kazakhstan","Austria","Females","14 to 17",0,5,5,0.3386
"Kosovo","Austria","Females","14 to 17",10,40,50,0.2269
"Macedonia","Austria","Females","14 to 17",0,30,30,0.0239
"Mongolia","Austria","Females","14 to 17",0,25,25,0.147
"Nigeria","Austria","Females","14 to 17",10,20,30,0.3744
"Russia","Austria","Females","14 to 17",85,265,350,0.5291
"Serbia","Austria","Females","14 to 17",5,45,50,0.1132
"Somalia","Austria","Females","14 to 17",75,5,80,0.9195
"Stateless","Austria","Females","14 to 17",0,5,5,0.9249
"Syria","Austria","Females","14 to 17",35,0,35,0.974
"Turkey","Austria","Females","14 to 17",5,5,10,0.5038
"Uzbekistan","Austria","Females","14 to 17",0,5,5,0.5043
"Afghanistan","Belgium","Females","14 to 17",120,80,200,0.8318
"Albania","Belgium","Females","14 to 17",15,95,110,0.3017
"Angola","Belgium","Females","14 to 17",5,40,45,0.4659
"Armenia","Belgium","Females","14 to 17",0,85,85,0.2737
"Azerbaijan","Belgium","Females","14 to 17",0,5,5,0.4992
"Bosnia and Herzegovina","Belgium","Females","14 to 17",0,25,25,0.1269
"Bulgaria","Belgium","Females","14 to 17",0,5,5,0
"Burundi","Belgium","Females","14 to 17",5,20,25,0.7138
"Côte d'Ivoire","Belgium","Females","14 to 17",10,5,15,0.5958
"Cameroon","Belgium","Females","14 to 17",0,5,5,0.5784
"China (including Hong Kong)","Belgium","Females","14 to 17",10,0,10,0.5968
"Czech Republic","Belgium","Females","14 to 17",0,5,5,0
"Dem. Rep. Congo","Belgium","Females","14 to 17",70,145,215,0.558
"Djibouti","Belgium","Females","14 to 17",10,5,15,0.7297
"Ethiopia","Belgium","Females","14 to 17",0,5,5,0.7302
"Georgia","Belgium","Females","14 to 17",0,25,25,0.1384
"Guinea","Belgium","Females","14 to 17",105,85,190,0.669
"Haiti","Belgium","Females","14 to 17",0,5,5,0.3841
"Hungary","Belgium","Females","14 to 17",0,10,10,0
"Iran","Belgium","Females","14 to 17",5,40,45,0.8455
"Iraq","Belgium","Females","14 to 17",45,35,80,0.8871
"Kazakhstan","Belgium","Females","14 to 17",0,20,20,0.3229
"Kenya","Belgium","Females","14 to 17",0,5,5,0.392
"Kosovo","Belgium","Females","14 to 17",25,250,275,0.2147
"Kyrgyzstan","Belgium","Females","14 to 17",0,5,5,0.3512
"Macedonia","Belgium","Females","14 to 17",5,70,75,0.0223
"Montenegro","Belgium","Females","14 to 17",0,5,5,0.051
"Pakistan","Belgium","Females","14 to 17",0,5,5,0.4829
"Romania","Belgium","Females","14 to 17",0,25,25,0.0534
"Russia","Belgium","Females","14 to 17",60,205,265,0.5113
"Rwanda","Belgium","Females","14 to 17",35,55,90,0.7719
"Serbia","Belgium","Females","14 to 17",30,190,220,0.1063
"Slovakia","Belgium","Females","14 to 17",0,30,30,0
"Somalia","Belgium","Females","14 to 17",10,15,25,0.9141
"Sri Lanka","Belgium","Females","14 to 17",10,20,30,0.6981
"Syria","Belgium","Females","14 to 17",75,25,100,0.9721
"Turkey","Belgium","Females","14 to 17",5,15,20,0.486
"Ukraine","Belgium","Females","14 to 17",0,5,5,0.2868
"Unknown","Belgium","Females","14 to 17",5,20,25,0.694
"Armenia","Bulgaria","Females","14 to 17",0,5,5,0.3583
"Iraq","Bulgaria","Females","14 to 17",15,10,25,0.9209
"Mali","Bulgaria","Females","14 to 17",0,5,5,0.7589
"Stateless","Bulgaria","Females","14 to 17",30,0,30,0.9444
"Syria","Bulgaria","Females","14 to 17",205,0,205,0.981
"Iraq","Cyprus","Females","14 to 17",10,10,20,0.7693
"Palestine","Cyprus","Females","14 to 17",25,10,35,0.7989
"Somalia","Cyprus","Females","14 to 17",5,0,5,0.8186
"Syria","Cyprus","Females","14 to 17",20,0,20,0.9366
"Kazakhstan","Czech Republic","Females","14 to 17",5,0,5,0.4926
"Myanmar/Burma","Czech Republic","Females","14 to 17",5,0,5,0.9407
"Russia","Czech Republic","Females","14 to 17",0,5,5,0.6805
"Turkey","Czech Republic","Females","14 to 17",0,5,5,0.6581
"Ukraine","Czech Republic","Females","14 to 17",5,0,5,0.4501
"Afghanistan","Denmark","Females","14 to 17",50,40,90,0.7804
"Armenia","Denmark","Females","14 to 17",0,5,5,0.2131
"Eritrea","Denmark","Females","14 to 17",5,0,5,0.929
"Iran","Denmark","Females","14 to 17",15,5,20,0.7972
"Iraq","Denmark","Females","14 to 17",5,5,10,0.8496
"Kosovo","Denmark","Females","14 to 17",0,20,20,0.1642
"Russia","Denmark","Females","14 to 17",10,20,30,0.4292
"Serbia","Denmark","Females","14 to 17",0,60,60,0.0787
"Somalia","Denmark","Females","14 to 17",30,5,35,0.8843
"Sri Lanka","Denmark","Females","14 to 17",0,5,5,0.6243
"Stateless","Denmark","Females","14 to 17",20,0,20,0.8918
"Syria","Denmark","Females","14 to 17",75,10,85,0.9616
"Afghanistan","Finland","Females","14 to 17",15,5,20,0.8554
"Bulgaria","Finland","Females","14 to 17",0,35,35,0
"Ethiopia","Finland","Females","14 to 17",5,0,5,0.7641
"Iran","Finland","Females","14 to 17",5,5,10,0.8675
"Iraq","Finland","Females","14 to 17",20,0,20,0.9039
"Kosovo","Finland","Females","14 to 17",0,15,15,0.2465
"Romania","Finland","Females","14 to 17",0,5,5,0.0633
"Russia","Finland","Females","14 to 17",5,10,15,0.556
"Serbia","Finland","Females","14 to 17",0,5,5,0.1246
"Somalia","Finland","Females","14 to 17",180,15,195,0.9272
