"destiny_code","destiny","year","menos14","x14a17","x18a34","x35a64","x65mas","Desconocido","max","min","dif","win","total_country"
"AT","Austria","2008",0.426528,0.402439,0.157194,0.224586,0.625,NA,0.625,0.157194,0.467806,"x65mas",85570
"AT","Austria","2009",0.378935,0.300518,0.123219,0.155602,0.142857,NA,0.378935,0.123219,0.255715,"menos14",85570
"AT","Austria","2010",0.478562,0.311828,0.137491,0.171053,0.166667,NA,0.478562,0.137491,0.341071,"menos14",85570
"AT","Austria","2011",0.584496,0.479452,0.175055,0.234884,0.6,NA,0.6,0.175055,0.424945,"x65mas",85570
"AT","Austria","2012",0.521978,0.392157,0.165694,0.245243,0.545455,NA,0.545455,0.165694,0.37976,"x65mas",85570
"AT","Austria","2013",0.544737,0.442105,0.174281,0.261029,0.454545,NA,0.544737,0.174281,0.370456,"menos14",85570
"BE","Bélgica","2008",0.296417,0.225564,0.231227,0.263063,0.25,NA,0.296417,0.225564,0.070853,"menos14",130080
"BE","Bélgica","2009",0.17284,0.198718,0.182943,0.196947,0.333333,NA,0.333333,0.17284,0.160494,"x65mas",130080
"BE","Bélgica","2010",0.181818,0.26776,0.21875,0.190948,0.0666667,NA,0.26776,0.0666667,0.201093,"x14a17",130080
"BE","Bélgica","2011",0.251995,0.286385,0.254611,0.234831,0.238095,NA,0.286385,0.234831,0.0515535,"x14a17",130080
"BE","Bélgica","2012",0.238661,0.407273,0.211978,0.183579,0.277778,NA,0.407273,0.183579,0.223693,"x14a17",130080
"BE","Bélgica","2013",0.332888,0.508197,0.271284,0.255467,0.352941,NA,0.508197,0.255467,0.25273,"x14a17",130080
"BE","Bélgica","2014",0.479554,0.496894,0.362993,0.362152,0.589744,NA,0.589744,0.362152,0.227592,"x65mas",130080
"BG","Bulgaria","2008",NA,0.6,0.426667,0.405405,0.75,NA,0.75,0.405405,0.344595,"x65mas",12710
"BG","Bulgaria","2009",NA,1,0.376812,0.428571,1,NA,1,0.376812,0.623188,"x14a17",12710
"BG","Bulgaria","2010",NA,0.5,0.233333,0.28,1,NA,1,0.233333,0.766667,"x65mas",12710
"BG","Bulgaria","2011",0,0.666667,0.298701,0.333333,1,NA,1,0,1,"x65mas",12710
"BG","Bulgaria","2012",0.5,0.5,0.231884,0.258065,1,NA,1,0.231884,0.768116,"x65mas",12710
"BG","Bulgaria","2013",0.986301,0.767442,0.849421,0.892473,1,NA,1,0.767442,0.232558,"x65mas",12710
"BG","Bulgaria","2014",0.986047,0.95,0.931548,0.943775,1,NA,1,0.931548,0.0684524,"x65mas",12710
"CY","Chipre","2009",0.682927,0.75,0.17226,0.309392,1,1,1,0.17226,0.82774,"x65mas",11720
"CY","Chipre","2010",0.52381,0.75,0.0882353,0.205357,1,NA,1,0.0882353,0.911765,"x65mas",11720
"CY","Chipre","2011",0.0444444,0,0.0060423,0.0243902,0,NA,0.0444444,0,0.0444444,"menos14",11720
"CY","Chipre","2012",0.266667,0,0.0479452,0.0652174,0,1,1,0,1,"Desconocido",11720
"CY","Chipre","2013",0.5,1,0.159091,0.162162,NA,NA,1,0.159091,0.840909,"x14a17",11720
"CY","Chipre","2014",1,1,0.711111,0.619048,1,1,1,0.619048,0.380952,"menos14",11720
"CZ","República Checa","2008",0.25641,0.222222,0.0915493,0.118644,0,NA,0.25641,0,0.25641,"menos14",4925
"CZ","República Checa","2009",0.409091,NA,0,0,NA,NA,0.409091,0,0.409091,"menos14",4925
"CZ","República Checa","2010",0.666667,NA,0.189189,0.32,NA,NA,0.666667,0.189189,0.477477,"menos14",4925
"CZ","República Checa","2011",0.827586,1,0.333333,0.277778,NA,NA,1,0.277778,0.722222,"x14a17",4925
"CZ","República Checa","2012",0.473684,0,0.204082,0.125,0,NA,0.473684,0,0.473684,"menos14",4925
"CZ","República Checa","2013",0.615385,0,0.366197,0.258621,1,NA,1,0,1,"x65mas",4925
"CZ","República Checa","2014",0.615385,1,0.272727,0.292308,1,NA,1,0.272727,0.727273,"x14a17",4925
"DE","Alemania","2008",0.504084,0.458167,0.37408,0.351351,0.652174,NA,0.652174,0.351351,0.300823,"x65mas",362015
"DE","Alemania","2009",0.495359,0.509138,0.295259,0.3234,0.642857,NA,0.642857,0.295259,0.347599,"x65mas",362015
"DE","Alemania","2010",0.327331,0.320163,0.159705,0.221895,0.493827,NA,0.493827,0.159705,0.334123,"x65mas",362015
"DE","Alemania","2011",0.333333,0.310618,0.175612,0.226824,0.553846,NA,0.553846,0.175612,0.378234,"x65mas",362015
"DE","Alemania","2012",0.305221,0.314286,0.27149,0.281667,0.62963,NA,0.62963,0.27149,0.358139,"x65mas",362015
"DE","Alemania","2013",0.242605,0.324385,0.258629,0.266282,0.61745,NA,0.61745,0.242605,0.374845,"x65mas",362015
"DE","Alemania","2014",0.370902,0.460601,0.444472,0.401188,0.666667,0,0.666667,0,0.666667,"x65mas",362015
"DK","Dinamarca","2009",0.525,0.645161,0.482558,0.468085,0.4,NA,0.645161,0.4,0.245161,"x14a17",26940
"DK","Dinamarca","2010",0.433628,0.514286,0.405488,0.366337,0.25,NA,0.514286,0.25,0.264286,"x14a17",26940
"DK","Dinamarca","2011",0.427184,0.526316,0.328358,0.362745,0.5,NA,0.526316,0.328358,0.197958,"x14a17",26940
"DK","Dinamarca","2012",0.455621,0.433962,0.347921,0.347059,0.428571,0,0.455621,0,0.455621,"menos14",26940
"DK","Dinamarca","2013",0.424908,0.590909,0.374286,0.408935,0.684211,NA,0.684211,0.374286,0.309925,"x65mas",26940
"DK","Dinamarca","2014",0.588235,0.774194,0.700365,0.714628,0.529412,NA,0.774194,0.529412,0.244782,"x14a17",26940
"EE","Estonia","2009",NA,NA,0,NA,NA,NA,0,0,0,"x18a34",115
"EE","Estonia","2010",NA,NA,0.5,NA,NA,NA,0.5,0.5,0,"x18a34",115
"EE","Estonia","2011",NA,NA,0.166667,0,NA,NA,0.166667,0,0.166667,"x18a34",115
"EE","Estonia","2012",NA,NA,0,0,NA,NA,0,0,0,"x18a34",115
"EE","Estonia","2013",NA,NA,0,0,NA,NA,0,0,0,"x18a34",115
"EE","Estonia","2014",NA,NA,0.333333,0,NA,NA,0.333333,0,0.333333,"x18a34",115
"EL","Grecia","2008",0.0769231,0,0.000652884,0,0,0,0.0769231,0,0.0769231,"menos14",92235
"EL","Grecia","2009",0.0727273,0,0.00363141,0.0190476,0,NA,0.0727273,0,0.0727273,"menos14",92235
"EL","Grecia","2010",0.666667,0,0.0161616,0.0205479,0,0,0.666667,0,0.666667,"menos14",92235
"EL","Grecia","2011",0.625,0.285714,0.0102866,0.00931677,0,0,0.625,0,0.625,"menos14",92235
"EL","Grecia","2012",0.222222,0,0.00323799,0.003003,0,NA,0.222222,0,0.222222,"menos14",92235
"EL","Grecia","2013",0.171053,0.166667,0.0272727,0.0381356,0,0,0.171053,0,0.171053,"menos14",92235
"EL","Grecia","2014",0.213483,0.223881,0.137289,0.116118,0,NA,0.223881,0,0.223881,"x14a17",92235
"ES","España","2008",0.111111,0.0434783,0.0239234,0.0526316,0,NA,0.111111,0,0.111111,"menos14",22760
"ES","España","2009",0.144928,0.0666667,0.0427807,0.0731707,0,NA,0.144928,0,0.144928,"menos14",22760
"ES","España","2010",0.340909,0.555556,0.15528,0.237037,1,NA,1,0.15528,0.84472,"x65mas",22760
"ES","España","2011",0.515625,0.5,0.180412,0.382716,1,NA,1,0.180412,0.819588,"x65mas",22760
"ES","España","2012",0.4375,0.4,0.138264,0.147059,NA,NA,0.4375,0.138264,0.299236,"menos14",22760
"ES","España","2013",0.552632,0.833333,0.142857,0.190476,NA,NA,0.833333,0.142857,0.690476,"x14a17",22760
"ES","España","2014",0.809524,0.904762,0.325062,0.442424,1,NA,1,0.325062,0.674938,"x65mas",22760
