"destiny_code","destiny","year","Siria","Afganistán","Iraq","Rusia","Serbia","Somalia","Pakistán","Nigeria","Irán","Kosovo","max","min","dif","win","total_country"
"AT","Austria","2008",0.310345,0.695187,0.808081,0.297845,0.133333,0.653061,0.0769231,0.0347826,0.519231,0.0982143,0.808081,0.0347826,0.773298,"Iraq",85570
"AT","Austria","2009",0.225,0.495751,0.756757,0.251938,0.0625,0.660714,0.0416667,0.01875,0.392157,0.0758929,0.756757,0.01875,0.738007,"Iraq",85570
"AT","Austria","2010",0.254902,0.4689,0.657895,0.324547,0.0649351,0.75,0,0.0408163,0.402439,0.112782,0.75,0,0.75,"Somalia",85570
"AT","Austria","2011",0.694118,0.546154,0.746835,0.348936,0.097561,0.752577,0.00636943,0.046729,0.483146,0.0833333,0.752577,0.00636943,0.746208,"Somalia",85570
"AT","Austria","2012",0.913043,0.351049,0.764045,0.285448,0.06,0.62963,0.0150602,0.0337079,0.6,0.132075,0.913043,0.0150602,0.897983,"Siria",85570
"AT","Austria","2013",0.834081,0.450858,0.722222,0.259829,0.102564,0.725664,0.0309735,0.0396825,0.597315,0.0322581,0.834081,0.0309735,0.803107,"Siria",85570
"BE","Bélgica","2008",0.269841,0.224852,0.528634,0.25,0.25,0.516129,0.04,0,0.09375,NA,0.528634,0,0.528634,"Iraq",130080
"BE","Bélgica","2009",0.177778,0.229839,0.514768,0.148325,0.0247934,0.236842,0.0285714,0,0.120805,0.104265,0.514768,0,0.514768,"Iraq",130080
"BE","Bélgica","2010",0.362069,0.469965,0.609244,0.129231,0.120419,0.425,0.0357143,0,0.141026,0.0743802,0.609244,0,0.609244,"Iraq",130080
"BE","Bélgica","2011",0.521739,0.539216,0.765886,0.149888,0.0673759,0.435484,0.0263158,0.05,0.236842,0.0871143,0.765886,0.0263158,0.73957,"Iraq",130080
"BE","Bélgica","2012",0.96,0.588119,0.243028,0.206612,0.0578947,0.4,0.0465116,0.0967742,0.559322,0.0766129,0.96,0.0465116,0.913488,"Siria",130080
"BE","Bélgica","2013",0.947531,0.559687,0.384615,0.189474,0.0923077,0.5,0.0611111,0,0.402062,0.047619,0.947531,0,0.947531,"Siria",130080
"BE","Bélgica","2014",0.965517,0.632911,0.693617,0.27451,0.111111,0.606557,0.125,0,0.512195,0.0917431,0.965517,0,0.965517,"Siria",130080
"BG","Bulgaria","2008",0,0.5,0.652174,0,NA,0,NA,0,0.5,NA,0.652174,0,0.652174,"Iraq",12710
"BG","Bulgaria","2009",0.25,0.625,0.677966,0,NA,NA,NA,0,0.25,NA,0.677966,0,0.677966,"Iraq",12710
"BG","Bulgaria","2010",0,0.25,0.5,0,NA,NA,NA,0,0.285714,NA,0.5,0,0.5,"Iraq",12710
"BG","Bulgaria","2011",0,0.5,0.409836,NA,NA,0.5,0,0,0.25,NA,0.5,0,0.5,"Afganistán",12710
"BG","Bulgaria","2012",0.733333,0.375,0.244898,NA,NA,0.25,0,0,0,NA,0.733333,0,0.733333,"Siria",12710
"BG","Bulgaria","2013",0.997525,0.125,0.40625,NA,NA,0.666667,0,0,0,NA,0.997525,0,0.997525,"Siria",12710
"BG","Bulgaria","2014",0.99844,0.190476,0.435897,NA,NA,0.333333,0,0,0.2,NA,0.99844,0,0.99844,"Siria",12710
"CY","Chipre","2009",0,0,0.939394,0,0,NA,0,0,0.0540541,NA,0.939394,0,0.939394,"Iraq",11720
"CY","Chipre","2010",0.0714286,0,0.888889,0,0,NA,0,0,0,NA,0.888889,0,0.888889,"Iraq",11720
"CY","Chipre","2011",0,0,0.0666667,0,NA,NA,0,0,0.027027,NA,0.0666667,0,0.0666667,"Iraq",11720
"CY","Chipre","2012",0,0,0.214286,NA,NA,NA,0,0,0,NA,0.214286,0,0.214286,"Iraq",11720
"CY","Chipre","2013",0.641026,0,0.6,NA,NA,NA,0,NA,0,NA,0.641026,0,0.641026,"Siria",11720
"CY","Chipre","2014",1,NA,1,NA,NA,1,0,0,NA,NA,1,0,1,"Siria",11720
"CZ","República Checa","2008",1,0,0.833333,0.333333,0,NA,0,0,NA,NA,1,0,1,"Siria",4925
"CZ","República Checa","2009",0,1,NA,0,0,NA,NA,0,NA,0,1,0,1,"Afganistán",4925
"CZ","República Checa","2010",0.166667,1,1,0.7,NA,NA,NA,0,NA,NA,1,0,1,"Afganistán",4925
"CZ","República Checa","2011",0,1,NA,0.625,NA,NA,0,0,NA,NA,1,0,1,"Afganistán",4925
"CZ","República Checa","2012",0.666667,0.5,NA,0,NA,NA,0,0,0,0,0.666667,0,0.666667,"Siria",4925
"CZ","República Checa","2013",0.956522,1,1,0.181818,0,NA,0,0,0,0,1,0,1,"Afganistán",4925
"CZ","República Checa","2014",0.933333,0,1,0.222222,0,NA,0,0,NA,0,1,0,1,"Iraq",4925
"DE","Alemania","2008",0.196429,0.486486,0.800964,0.232877,0.0145455,0.8,0.0652174,0.0322581,0.390244,1,1,0.0145455,0.985455,"Kosovo",362015
"DE","Alemania","2009",0.178571,0.595016,0.650282,0.245161,0.0150376,0.813953,0.15,0.0326087,0.528889,0.0551471,0.813953,0.0150376,0.798916,"Somalia",362015
"DE","Alemania","2010",0.18797,0.441088,0.533282,0.21519,0.00621762,0.694656,0.0869565,0.0607477,0.531646,0.0418502,0.694656,0.00621762,0.688439,"Somalia",362015
"DE","Alemania","2011",0.435897,0.347425,0.553417,0.155844,0.00327869,0.68,0.144144,0.10219,0.545802,0.0245232,0.68,0.00327869,0.676721,"Somalia",362015
"DE","Alemania","2012",0.962033,0.399333,0.620805,0.157407,0.00191058,0.684932,0.18323,0.09375,0.566781,0.0225564,0.962033,0.00191058,0.960123,"Siria",362015
"DE","Alemania","2013",0.946225,0.489592,0.564516,0.0237571,0.00171306,0.527675,0.347826,0.129032,0.590288,0.0122378,0.946225,0.00171306,0.944512,"Siria",362015
"DE","Alemania","2014",0.936041,0.661165,0.873711,0.193182,0.0020377,0.546032,0.277372,0.287671,0.718381,0.017316,0.936041,0.0020377,0.934003,"Siria",362015
"DK","Dinamarca","2009",0.692308,0.558442,0.511628,0.684211,0.307692,0.666667,0,0,0.641026,0.214286,0.692308,0,0.692308,"Siria",26940
"DK","Dinamarca","2010",0.575,0.449074,0.458333,0.62069,0.0222222,0.285714,0,0,0.646154,0.206897,0.646154,0,0.646154,"Irán",26940
"DK","Dinamarca","2011",0.631579,0.307377,0.25,0.463415,0.192308,0,0,0,0.471154,0.142857,0.631579,0,0.631579,"Siria",26940
"DK","Dinamarca","2012",0.85625,0.266667,0.0555556,0.347222,0.0229885,0.461538,0.2,0,0.576087,0.0740741,0.85625,0,0.85625,"Siria",26940
"DK","Dinamarca","2013",0.869128,0.396694,0.15,0.233129,0,0.378788,0.0833333,0,0.517544,0,0.869128,0,0.869128,"Siria",26940
"DK","Dinamarca","2014",0.964891,0.318182,0.130435,0.21519,0,0.507042,0,0,0.222222,0.1,0.964891,0,0.964891,"Siria",26940
"EE","Estonia","2009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"Siria",115
